timestamp,gimbal_position_deg,gimbal_speed_hz,wheel_speed_hz,wheel_accel_rad_s2,tmp_bot_C,tmp_top_C,cur_3v3_A,cur_5V_A,vol_3v3_V,vol_5V_V
5/29/2025 1:25,233.729,0.001,142.47,6.0957,26.5,26.4,0.092,0.456,3.257,4.949
5/29/2025 1:25,232.987,0,142.04,-10.061,26.2,26.3,0.095,0.493,3.257,4.946
5/29/2025 1:25,233.091,0,141.82,-14.944,26.3,26.4,0.096,0.475,3.257,4.946
5/29/2025 1:25,233.262,0,142.21,-12.814,26.3,26.4,0.095,0.455,3.257,4.949
5/29/2025 1:25,233.157,0,142.17,-15.556,26.2,26.5,0.095,0.463,3.256,4.951
5/29/2025 1:25,233.24,0,142.3,-8.5424,26.5,26.5,0.099,0.472,3.259,4.942
5/29/2025 1:25,233.619,0,143.34,32.957,26.5,26.4,0.096,0.458,3.257,4.944
5/29/2025 1:25,233.492,0,142.3,-9.4599,26.2,26.4,0.096,0.52,3.256,4.938
5/29/2025 1:25,233.091,0,142.3,-12.508,26.4,26.4,0.099,0.443,3.257,4.955
5/29/2025 1:25,233.41,0,142.21,-14.037,26.5,26.5,0.095,0.452,3.257,4.953
5/29/2025 1:25,233.388,0,143.78,47.299,26.2,26.5,0.095,0.458,3.256,4.953
5/29/2025 1:25,233.41,0,142.21,-12.202,26.4,26.4,0.098,0.479,3.257,4.942
5/29/2025 1:25,232.927,0,142.04,-14.037,26.3,26.5,0.095,0.464,3.256,4.947
5/29/2025 1:26,232.822,0,142.17,-11.59,26.3,26.4,0.096,0.457,3.257,4.947
5/29/2025 1:26,233.492,0,142.25,-12.508,26.5,26.4,0.099,0.462,3.259,4.949
5/29/2025 1:26,233.811,0.001,142.34,-10.979,26.4,26.4,0.095,0.389,3.257,4.955
5/29/2025 1:26,233.113,0,142.38,-8.2365,26.3,26.4,0.095,0.421,3.256,4.947
5/29/2025 1:26,233.179,0,142.73,8.8482,26.3,26.4,0.099,0.403,3.257,4.953
5/29/2025 1:26,233.24,0,142.13,-17.085,26.5,26.5,0.096,0.406,3.259,4.951
5/29/2025 1:26,233.514,0,142.3,-11.284,26.4,26.4,0.095,0.388,3.259,4.955
5/29/2025 1:26,233.663,0,143.43,40.276,26.5,26.2,0.095,0.424,3.259,4.951
5/29/2025 1:26,233.366,0,142.13,-7.0132,26.5,26.3,0.094,0.427,3.259,4.949
5/29/2025 1:26,233.284,0,142.13,-9.154,26.3,26.4,0.095,0.453,3.257,4.949
5/29/2025 1:26,233.284,0,142.17,-12.508,26.5,26.3,0.093,0.397,3.257,4.951
5/29/2025 1:26,233.448,0,142.21,-10.367,26.5,26.5,0.096,0.467,3.257,4.944
5/29/2025 1:26,233.597,0,143.56,40.887,26.4,26.5,0.095,0.438,3.259,4.947
5/29/2025 1:26,233.157,0,142.34,-7.319,26.4,26.1,0.088,0.481,3.256,4.94
5/29/2025 1:26,233.031,0,142.6,-1.5186,26.5,26.6,0.094,0.386,3.257,4.957
5/29/2025 1:26,233.619,0,143.6,43.629,26.4,26.4,0.095,0.413,3.259,4.955
5/29/2025 1:26,233.855,0.001,142.21,-10.673,26.4,26.4,0.091,0.403,3.257,4.957
5/29/2025 1:26,233.41,0,143.43,36.922,26.4,26.5,0.096,0.529,3.257,4.944
5/29/2025 1:26,233.031,0,142.65,4.577,26.4,26.4,0.096,0.466,3.256,4.944
5/29/2025 1:26,233.284,0,142.3,-7.0132,26.3,26.2,0.093,0.486,3.257,4.942
5/29/2025 1:26,233.492,0,142.08,-16.779,26.4,26.5,0.094,0.416,3.257,4.949
