timestamp,gimbal_position_deg,gimbal_speed_hz,wheel_speed_hz,wheel_accel_rad_s2,tmp_bot_C,tmp_top_C,cur_3v3_A,cur_5V_A,vol_3v3_V,vol_5V_V
5/29/2025 0:51,232.756,0,50.95,21.05,25.2,25,0.098,0.148,3.261,5.006
5/29/2025 0:51,233.284,0,56.38,12.044,25.1,25.2,0.096,0.143,3.261,5.008
5/29/2025 0:51,232.652,0,61.18,10.525,25.2,25.1,0.095,0.148,3.261,5.006
5/29/2025 0:51,233.641,0.001,63.59,13.731,25.2,25.2,0.098,0.204,3.259,4.995
5/29/2025 0:51,232.674,0,68.22,17.085,25.2,25.1,0.095,0.227,3.257,4.988
5/29/2025 0:51,232.949,0,73.11,11.443,25.3,25.1,0.095,0.283,3.261,4.979
5/29/2025 0:51,233.514,0.001,75.71,16.02,25.2,25,0.099,0.19,3.261,4.995
5/29/2025 0:51,232.883,0,80.69,13.119,25.1,25.1,0.095,0.228,3.259,4.988
5/29/2025 0:52,233.075,0,85.55,8.2365,25.1,25.1,0.095,0.226,3.259,4.986
5/29/2025 0:52,232.987,0,88.07,11.284,25.1,25.1,0.097,0.301,3.256,4.969
5/29/2025 0:52,233.24,0,92.6,17.696,25.4,24.9,0.096,0.353,3.257,4.962
5/29/2025 0:52,232.927,0,94.82,7.6248,25.1,25.1,0.094,0.278,3.256,4.971
5/29/2025 0:52,233.031,0,100.24,15.25,25.3,25,0.095,0.324,3.256,4.96
5/29/2025 0:52,233.811,0.001,105.4,11.896,25.3,25.1,0.096,0.324,3.259,4.962
5/29/2025 0:52,232.949,0,107.95,6.4015,25.1,25.1,0.094,0.391,3.257,4.953
5/29/2025 0:52,233.009,0,113.11,7.9307,25.2,25,0.091,0.399,3.257,4.951
5/29/2025 0:52,233.344,0,118.07,5.484,25.3,25.1,0.095,0.463,3.257,4.949
5/29/2025 0:52,233.306,0,121.65,48.206,25.2,25,0.095,0.423,3.257,4.951
5/29/2025 0:52,233.553,0.001,126.07,30.51,25.3,25,0.088,0.439,3.257,4.946
5/29/2025 0:52,233.031,0,129.91,-3.9653,25.1,25.1,0.094,0.481,3.256,4.94
5/29/2025 0:52,232.927,0,132.34,11.59,25.3,25,0.095,0.529,3.257,4.935
5/29/2025 0:52,233.575,0,136.61,3.6595,25.3,24.9,0.089,0.564,3.257,4.933
5/29/2025 0:52,232.971,0,139.54,-8.5424,25.2,24.9,0.095,0.549,3.256,4.936
5/29/2025 0:52,232.971,0,140.59,-7.9307,25.3,25.1,0.095,0.568,3.257,4.935
5/29/2025 0:52,233.427,0,141.56,-13.119,25.3,24.9,0.094,0.5,3.256,4.942
5/29/2025 0:52,233.306,0,142.6,19.215,25.3,25,0.093,0.483,3.256,4.936
5/29/2025 0:52,233.218,0,142.6,-10.061,25.2,25.2,0.092,0.502,3.256,4.936
5/29/2025 0:52,233.075,0,143.04,-18.614,25.2,25,0.096,0.473,3.259,4.944
5/29/2025 0:52,233.262,0,143.26,-12.202,25.1,25.1,0.096,0.538,3.256,4.938
5/29/2025 0:52,233.619,0,143.43,-13.425,25.3,25.1,0.097,0.557,3.257,4.94
5/29/2025 0:52,233.031,0,142.65,-16.473,25.2,25.1,0.095,0.493,3.256,4.944
5/29/2025 0:52,233.262,0,141.56,-21.968,25.1,25.3,0.096,0.46,3.256,4.947
5/29/2025 0:52,233.41,0,141.05,-16.167,25.2,25.1,0.099,0.452,3.256,4.949
5/29/2025 0:52,233.157,0,141.44,-14.343,25.3,25.1,0.093,0.498,3.256,4.944
5/29/2025 0:52,233.306,0,141.86,-10.367,25.2,25.1,0.096,0.505,3.256,4.94
5/29/2025 0:52,233.575,0,143.6,40.887,25.2,25.1,0.098,0.51,3.256,4.933
5/29/2025 0:52,233.597,0,142.34,-14.638,25.4,25.1,0.088,0.49,3.256,4.946
5/29/2025 0:52,233.053,0,142.21,-18.308,25.1,25.1,0.096,0.495,3.256,4.942
5/29/2025 0:52,233.597,0,142.34,-8.8482,25.3,25,0.099,0.487,3.256,4.944
