timestamp,gimbal_position_deg,gimbal_speed_hz,wheel_speed_hz,wheel_accel_rad_s2,tmp_bot_C,tmp_top_C,cur_3v3_A,cur_5V_A,vol_3v3_V,vol_5V_V,cmd_wheel_torque_mNm,event
2025-05-29 05:56:59,321.07,0.0,0.0,0.0,24.9,24.6,0.094,0.0,3.261,5.037,0.54,
2025-05-29 05:57:00,320.861,0.0,0.0,0.0,24.9,24.6,0.09,0.032,3.259,5.028,0.54,
2025-05-29 05:57:01,320.861,0.0,0.0,0.0,24.9,24.6,0.09,0.032,3.259,5.028,0.54,
2025-05-29 05:57:02,320.63,0.0,0.0,0.0,24.9,24.9,0.096,0.048,3.261,5.026,0.54,
2025-05-29 05:57:03,321.443,0.002,0.0,0.0,24.9,24.6,0.096,0.17,3.259,5.0,0.54,
2025-05-29 05:57:04,319.576,0.0,18.24,72.547,25.0,24.8,0.096,0.143,3.259,5.008,0.54,
2025-05-29 05:57:05,320.51,0.0,28.12,56.601,24.9,24.8,0.099,0.178,3.259,4.999,0.54,
2025-05-29 05:57:06,320.158,0.0,37.27,58.278,24.9,24.6,0.094,0.217,3.259,4.991,0.54,
2025-05-29 05:57:07,321.443,0.001,45.67,54.165,24.9,24.7,0.095,0.246,3.259,4.988,0.54,
2025-05-29 05:57:08,321.394,0.001,53.85,48.206,24.8,24.6,0.095,0.253,3.259,4.984,0.54,
2025-05-29 05:57:09,320.229,0.0,61.44,52.024,25.1,24.8,0.095,0.269,3.259,4.98,0.54,
2025-05-29 05:57:10,321.114,0.001,68.07,43.323,24.9,24.6,0.098,0.29,3.259,4.975,0.54,
2025-05-29 05:57:11,320.488,0.0,74.52,36.616,25.0,24.6,0.096,0.318,3.257,4.968,0.54,
2025-05-29 05:57:12,320.301,0.0,81.13,37.681,24.9,24.8,0.095,0.376,3.257,4.958,0.54,
2025-05-29 05:57:13,321.07,0.0,87.74,45.158,24.9,24.7,0.095,0.356,3.257,4.96,0.54,
2025-05-29 05:57:14,320.839,0.0,94.4,48.512,25.1,24.8,0.098,0.414,3.256,4.947,0.54,
2025-05-29 05:57:15,321.301,0.001,100.59,34.169,25.1,24.8,0.094,0.491,3.256,4.942,0.54,
2025-05-29 05:57:16,320.933,0.0,107.46,57.065,25.1,24.6,0.096,0.503,3.256,4.938,0.54,
2025-05-29 05:57:17,321.07,0.0,112.38,25.627,25.1,24.8,0.093,0.524,3.256,4.933,0.54,
2025-05-29 05:57:18,320.839,0.0,117.86,29.592,24.9,24.8,0.093,0.508,3.256,4.927,0.54,
